uco,datetime,time,level,event
57057,2016-12-12 14:05:54,00:00:00,1,Game started
56988,2016-12-12 14:06:05,00:00:00,1,Game started
57149,2016-12-12 14:06:17,00:00:00,1,Game started
57034,2016-12-12 14:06:34,00:00:00,1,Game started
57241,2016-12-12 14:06:36,00:00:00,1,Game started
57103,2016-12-12 14:06:41,00:00:00,1,Game started
57011,2016-12-12 14:07:25,00:00:00,1,Game started
56873,2016-12-12 14:07:29,00:00:00,1,Game started
57080,2016-12-12 14:08:08,00:00:00,1,Game started
57195,2016-12-12 14:08:14,00:00:00,1,Game started
57149,2016-12-12 14:09:49,00:03:32,1,Wrong flag submited:CVE-2015-2872
57149,2016-12-12 14:09:59,00:03:41,1,Wrong flag submited:CVE-2015-2872
57149,2016-12-12 14:10:15,00:03:58,1,Wrong flag submited:CVE-2015-1437
57149,2016-12-12 14:10:33,00:04:16,1,Wrong flag submited:CVE-2014-9031
57011,2016-12-12 14:10:47,00:03:21,1,Hint 1 taken
57172,2016-12-12 14:12:11,00:00:00,1,Game started
57011,2016-12-12 14:13:15,00:05:49,1,Hint 2 taken
56965,2016-12-12 14:13:19,00:00:00,1,Game started
56919,2016-12-12 14:14:07,00:00:00,1,Game started
57241,2016-12-12 14:14:42,00:08:05,1,Hint 1 taken
56942,2016-12-12 14:15:01,00:00:00,1,Game started
57241,2016-12-12 14:15:02,00:08:26,1,Hint 2 taken
57057,2016-12-12 14:16:56,00:11:01,1,Hint 1 taken
57057,2016-12-12 14:17:01,00:11:06,1,Hint 2 taken
57241,2016-12-12 14:17:15,00:10:38,1,Game exited prematurely
57241,2016-12-12 14:18:10,00:00:00,1,Game started
57241,2016-12-12 14:18:14,00:00:04,1,Hint 1 taken
57241,2016-12-12 14:18:15,00:00:05,1,Hint 2 taken
56965,2016-12-12 14:18:17,00:04:58,1,Hint 1 taken
57241,2016-12-12 14:18:18,00:00:07,1,Help level accessed
57241,2016-12-12 14:19:03,00:00:52,1,Level cowardly skipped
56988,2016-12-12 14:19:15,00:13:09,1,Correct flag submited
56965,2016-12-12 14:19:47,00:06:28,1,Hint 2 taken
57241,2016-12-12 14:20:28,00:01:24,2,Hint 1 taken
57241,2016-12-12 14:20:30,00:01:26,2,Hint 2 taken
56942,2016-12-12 14:20:37,00:05:36,1,Hint 1 taken
57241,2016-12-12 14:20:40,00:01:36,2,Help level accessed
56942,2016-12-12 14:20:55,00:05:53,1,Hint 2 taken
57195,2016-12-12 14:21:21,00:13:06,1,Wrong flag submited:CVE-2016-7168
57195,2016-12-12 14:22:03,00:13:48,1,Wrong flag submited:CVE-2015-7989
57126,2016-12-12 14:22:22,00:00:00,1,Game started
57241,2016-12-12 14:22:24,00:03:21,2,Level cowardly skipped
57241,2016-12-12 14:23:05,00:00:40,3,Hint 1 taken
57149,2016-12-12 14:23:07,00:16:50,1,Wrong flag submited:CVE-2015-3439
57241,2016-12-12 14:23:08,00:00:43,3,Hint 2 taken
57195,2016-12-12 14:23:09,00:14:54,1,Correct flag submited
57241,2016-12-12 14:23:14,00:00:49,3,Help level accessed
57149,2016-12-12 14:23:34,00:17:17,1,Correct flag submited
57241,2016-12-12 14:23:59,00:01:34,3,Level cowardly skipped
57241,2016-12-12 14:25:10,00:01:11,4,Hint 1 taken
57241,2016-12-12 14:25:11,00:01:12,4,Hint 2 taken
57241,2016-12-12 14:25:15,00:01:16,4,Hint 3 taken
57241,2016-12-12 14:25:19,00:01:20,4,Help level accessed
57218,2016-12-12 14:26:04,00:00:00,1,Game started
57218,2016-12-12 14:26:13,00:00:09,1,Correct flag submited
57034,2016-12-12 14:26:15,00:19:40,1,Hint 1 taken
57034,2016-12-12 14:26:18,00:19:43,1,Hint 2 taken
57241,2016-12-12 14:26:18,00:02:19,4,Level cowardly skipped
57241,2016-12-12 14:26:18,00:02:19,4,Game finished
57034,2016-12-12 14:26:19,00:19:44,1,Help level accessed
56919,2016-12-12 14:26:27,00:12:20,1,Correct flag submited
57057,2016-12-12 14:26:47,00:20:53,1,Help level accessed
57218,2016-12-12 14:26:54,00:00:41,2,Wrong flag submited:girlfriend
